from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
2861893,2861894,,,313317576,328326112,0,
2861893,2861894,,,342675846,317625467,0,
2861893,2861894,,,341106903,313311803,0,
2861893,2861894,,,313317635,340721156,0,
2861893,2861894,,,313313619,341108186,0,
2861893,2861894,,,343874048,313318338,0,
2861893,2861894,,,331294479,325549430,0,
2861893,2861894,,,343862910,313314932,0,
2861893,2861894,,,341106812,313314932,0,
2861893,2861894,,,341107373,313311803,0,
2861893,2861894,,,328325943,343870766,0,
2861893,2861894,,,313314386,325556125,0,
2861893,2861894,,,313316157,313315773,0,
2861893,2861894,,,313311024,328330624,0,
2861893,2861894,,,331283972,340738712,0,
2861893,2861894,,,313318661,328326872,0,
2861893,2861894,,,313310294,340736327,0,
2861893,2861894,,,325544068,328329182,0,
2861893,2861894,,,313317933,313315773,0,
2861893,2861894,,,328329680,313318485,0,
2861893,2861894,,,341107723,341106422,0,
2861893,2861894,,,313311939,313317864,0,
2861893,2861894,,,313314386,343873508,0,
2861893,2861894,,,313310928,328325994,0,
2861893,2861894,,,313312123,313311737,0,
2861893,2861894,,,342675034,342675038,0,
2861893,2861894,,,313311879,313319724,0,
2861893,2861894,,,341108524,313317089,0,
2861893,2861894,,,341107604,341106030,0,
2861893,2861894,,,313313870,334314304,0,
2861893,2861894,,,313317418,328327333,0,
2861893,2861894,,,313315335,328331325,0,
2861893,2861894,,,331294330,313313145,0,
2861893,2861894,,,341108607,313320022,0,
2861893,2861894,,,317624938,313313944,0,
2861893,2861894,,,341105907,338806994,0,
2861893,2861894,,,341105907,342674537,0,
2861893,2861894,,,341083012,313313944,0,
2861893,2861894,,,343874217,328336400,0,
2861893,2861894,,,343867360,341106338,0,
2861893,2861894,,,341106820,328331220,0,
2861893,2861894,,,341106796,341106732,0,
2861893,2861894,,,341106693,341103465,0,
2861893,2861894,,,342674669,313318485,0,
2861893,2861894,,,341107018,341106404,0,
2861893,2861894,,,341106974,328325697,0,
2861893,2861894,,,313317933,341106320,0,
2861893,2861894,,,341107025,317625467,0,
2861893,2861894,,,328329680,313320022,0,
2861893,2861894,,,313311450,328332903,0,
2861893,2861894,,,313319775,328332903,0,
2861893,2861894,,,313313870,325550686,0,
2861893,2861894,,,341106442,328327333,0,
2861893,2861894,,,325555208,313311841,0,
2861893,2861894,,,313310731,313318084,0,
2861893,2861894,,,341107604,328329397,0,
2861893,2861894,,,325552572,328336400,0,
2861893,2861894,,,313320312,328326112,0,
2861893,2861894,,,331294330,328329397,0,
2861893,2861894,,,342675662,328336822,0,
2862930,2862931,,,343873241,313310919,0,
2862930,2862931,,,292072971,313310477,0,
2862930,2862931,,,292072574,313315553,0,
2862930,2862931,,,343871213,343872141,0,
2862930,2862931,,,292073597,313316567,0,
2862930,2862931,,,292078100,313310393,0,
2862930,2862931,,,292074079,313312309,0,
2862930,2862931,,,341105432,313315449,0,
2862930,2862931,,,292072574,342676627,0,
2862930,2862931,,,342676417,313316770,0,
2862930,2862931,,,292079123,313317896,0,
2862930,2862931,,,325553360,313319474,0,
2862930,2862931,,,292069786,313311614,0,
2862930,2862931,,,292068256,313311140,0,
2862930,2862931,,,292077297,313318181,0,
2862930,2862931,,,292077251,313313814,0,
2862930,2862931,,,343873431,343873008,0,
2862930,2862931,,,313313513,313309924,0,
2862930,2862931,,,328329522,313311753,0,
2862930,2862931,,,343873385,343871037,0,
2862930,2862931,,,313313013,313314933,0,
2862930,2862931,,,313320382,341106632,0,
2862930,2862931,,,341106359,313319474,0,
2862930,2862931,,,313315968,328335808,0,
2862930,2862931,,,343874009,343872551,0,
2862930,2862931,,,313314384,313316694,0,
2862930,2862931,,,292077251,313313556,0,
2862930,2862931,,,341108236,313311753,0,
